Station,District,BuiltDate
1664,노원구,2017-11-28
1665,노원구,2017-11-28
1666,노원구,2017-11-28
1667,노원구,2017-11-28
1668,노원구,2017-11-28
1669,노원구,2017-11-28
1670,노원구,2017-11-28
1671,노원구,2017-11-28
1672,노원구,2017-11-28
1673,노원구,2017-11-28
1674,노원구,2017-11-28
1675,노원구,2017-12-22
1677,노원구,2017-12-22
1678,노원구,2018-02-26
1679,노원구,2018-02-26
1680,노원구,2018-02-26
1681,노원구,2018-03-15
1682,노원구,2018-03-15
1683,노원구,2018-10-27
1684,노원구,2018-10-27
1685,노원구,2018-10-27
1686,노원구,2018-11-02
1688,노원구,2018-11-02
1689,노원구,2018-11-02
1690,노원구,2018-11-02
1691,노원구,2018-11-02
1692,노원구,2018-12-14
1693,노원구,2019-03-29
1695,노원구,2020-06-17
1696,노원구,2020-03-21
1697,노원구,2020-03-23
1700,노원구,2020-03-23
2901,노원구,2020-03-24
2902,노원구,2020-03-24
2903,노원구,2020-03-24
2904,노원구,2020-03-24
2905,노원구,2020-03-26
2907,노원구,2020-03-24
2908,노원구,2020-03-24
2909,노원구,2020-03-25
2910,노원구,2020-03-25
2911,노원구,2020-03-23
2912,노원구,2020-03-23
2913,노원구,2020-03-23
2914,노원구,2020-06-10
2915,노원구,2020-03-24
2917,노원구,2020-03-30
2919,노원구,2020-03-23
2920,노원구,2020-03-23
2921,노원구,2020-03-26
900,은평구,2016-09-02
901,은평구,2016-09-02
902,은평구,2016-09-02
903,은평구,2016-09-02
904,은평구,2016-09-02
905,은평구,2020-12-12
906,은평구,2016-09-02
907,은평구,2016-09-02
908,은평구,2016-09-02
909,은평구,2016-09-02
911,은평구,2016-09-02
912,은평구,2016-09-02
913,은평구,2016-09-02
914,은평구,2016-09-02
915,은평구,2016-09-02
916,은평구,2016-09-02
917,은평구,2016-09-02
919,은평구,2016-09-02
921,은평구,2016-09-02
922,은평구,2016-09-02
923,은평구,2016-09-02
924,은평구,2016-09-02
925,은평구,2016-09-02
927,은평구,2016-09-02
928,은평구,2016-09-02
930,은평구,2016-09-02
931,은평구,2016-09-02
932,은평구,2016-09-02
933,은평구,2016-09-02
934,은평구,2017-11-01
937,은평구,2017-11-01
938,은평구,2017-11-01
939,은평구,2017-11-01
941,은평구,2017-11-01
942,은평구,2017-11-01
943,은평구,2017-11-01
945,은평구,2017-11-01
946,은평구,2018-05-30
947,은평구,2017-11-01
948,은평구,2017-11-01
949,은평구,2017-11-01
950,은평구,2017-11-01
952,은평구,2017-11-01
953,은평구,2017-11-01
954,은평구,2017-11-28
956,은평구,2017-11-28
958,은평구,2018-10-16
959,은평구,2018-10-18
